Name,Level,Lot,Near (Left),Near (Right),Categories,Also Near,Mall ID,ID
Sports Direct,1,19,,GadgetHub,Sports,,6,1
GadgetHub,1,31,Sports Direct,,Technology,,6,2
Huckleberry Petit,1,,Sports Direct,,Food,,6,3
Big Pharmacy,1,16,,,Healthcare,,6,4
Tsutaya Bookstore,1,,,Big Pharmacy,Books,,6,5
La Perna,1,10,Tsutaya Bookstore,,Jewellery,Toilet,6,6
S. Stella,1,,,S. Stella,Jewellery,,6,7
Teazzi,1,30,S. Stella,GadgetHub,Food,,6,8
Watsons,1,25,Sports Direct,Bacarat,Healthcare,,6,9
Bacarat,1,26,Watsons,,Clothing,,6,10
Cemboja,1,28,,MST Golf,Clothing,,6,11
MST Golf,1,1,Cemboja,,Sports,Lift,6,12
Axis Lounge,,,,,Miscellaneous ,,6,13
Oriental Landmark,G,1,,Starbucks,Food,,6,14
Starbucks,G,2,Oriental Landmark,,Food,Lift,6,15
Kenshin Kaiseki,G,3A,Starbucks,,Food,Toilet,6,16
Hanare,G,,Kenshin Kaiseki,,Food,,6,17
Leaf's Mark,G,7,Hanare,,Food,,6,18
Ristorante Porto Romano,G,,Leaf's Mark,Grandmama's,Food,Toilet,6,19
Grandmama's,G,12,Ristorante Porto Romano,In Colonial,Food,,6,20
Paul,G,18,Grandmama's,KFC,Food,,6,21
In Colonial,G,,Grandmama's,Salad Atelier,Food,,6,22
Salad Atelier,G,,In Colonial,McDonald's ,Food,,6,23
McDonald's ,G,17,Salad Atelier,Nando's,Food,,6,24
Nando's,G,22,McDonald's ,KFC,Food,,6,25
KFC,G,21,Nando's,,Food,,6,26
Bashujiayan,G,"19, 19A, 19B",KFC,Dome,Food,,6,27
Dome,G,,,Bashujiayan,Food,Main Entrance,6,28
GMT Currency Exchange,C,,,Wing Sing Station,Miscellaneous,,6,29
Wing Sing Station,C,11,GMT Currency Exchange,Grizzly,Jewellery,,6,30
Grizzly,C,,Wing Sing Station,Visionworks,Grizzly,,6,31
Visionworks,C,13,Grizzly,Jeeves,Eyecare,,6,32
Jeeves,C,,Visionworks,myNews,Clothing,,6,33
myNews,C,,Jeeves,Guardian,Covenience Store,,6,34
Guardian,C,"18,19",myNews,Dunkin' Donuts,Beauty & Personal Care,,6,35
Dunkin' Donuts,C,20,Guardian,Boost Juice Bars,Food,,6,36
Boost Juice Bars,C,,Dunkin' Donuts,San Francisco Coffee,Food,,6,37
San Francisco Coffee,C,2,Boost Juice Bars,Family Mart,Food,"Toilet, Lift",6,38
Family Mart,C,6,San Francisco Coffee,Living Circles Concept,Covenience Store,"Toilet, Lift",6,39
Cauli & Rice,C,1,Boost Juice Bars,San Francisco Coffee,Food,,6,40
Cafe Mesra,C,,Cauli & Rice,,Food,,6,41
Living Circles Concept,C,,Living Circles Concept,Aeon Wellness,Household Items,,6,42
Aeon Wellness,C,8,Living Circles Concept,,Healthcare,,6,43
Secret Recipe,C,,Aeon Wellness,Grizzly,Food,,6,44
The Little Gym,2,2,Flyproject,,Miscellaneous,Lift,6,45
Flyproject,2,1,,The Little Gym,Miscellaneous,,6,46
Oriental Signature,2,"10, 11",Carven Ong,Flyproject,Beauty & Personal Care,,6,47
Carven Ong,2,9,,Oriental Signature,Clothing,,6,48
HM Handicrafts,2,,,Carven Ong,Household Items,"Toilet, Lift",6,49
Art Cut Saloon,2,,Kingsmen Barbershop,HM Handicrafts,Beauty & Personal Care,,6,50
Kingsmen Barbershop,2,7,Jo Nails & Spa,Art Cut Saloon,Beauty & Personal Care,,6,51
Jo Nails & Spa,2,6,,Kingsmen Barbershop,Beauty & Personal Care,,6,52
Onsemiro,2,3A,Ramen Seirock-Ya,,Food,,6,53
Ramen Seirock-Ya,2,3B,Groom Artistry,Onsemiro,Food,,6,54
Groom Artistry,2,,The Little Gym,Ramen Seirock-Ya,Beauty & Personal Care,,6,55
Primrose Hill,3,1,Body Perfect,,Miscellaneous,"Toilet, Lift",6,56
Body Perfect,3,,BMF,Primrose Hill,Beauty & Personal Care,,6,57
Klinik Segara,3,,Homemade Carpets,,Miscellaneous,,6,58
Homemade Carpets,3,,,Klinik Segara,Household Items,,6,59
Thurai Dental Surgery,3,16,Klinik Segara,BMF,Miscellaneous,,6,60
BMF,3,18,Thurai Dental Surgery,Body Perfect,Beauty & Personal Care,,6,61
Subway,LC,16,Farm House Kitchen,Bonjour Garden,Food,,6,62
Jaya Grocer,LC,,Bonjour Garden,,Anchor,,6,63
Bonjour Garden,LC,,Jaya Grocer,Subway,Food,,6,64
Tenkai,LC,,Daily Express,Dodo Korea,Food,Lift,6,65
Dodo Korea,LC,8,Tenkai,,Food,,6,66
Farm House Kitchen,LC,,Chicken Rice + Mee,Subway,Food,,6,67
Daily Express,LC,,Jaya Grocer,Tenkai,Food,,6,68
Arababa,LC,,Dodo Korea,Sizzling Hot Plate,Food,"Surau, Toilet",6,69
Sizzling Hot Plate,LC,18,Arababa,,Food,,6,70
Hameed's,LC,,Arababa,Penyet Express,Food,,6,71
Penyet Express,LC,12,Hameed's,MA YI LAN Ramen,Food,,6,72
MA YI LAN Ramen,LC,,Penyet Express,Chicken Rice + Mee,Food,,6,73
Chicken Rice + Mee,LC,,MA YI LAN Ramen,Farm House Kitchen,Food,,6,74
Chagee,LC,11,Hameed's,MA YI LAN Ramen,Food,,6,75
Soya Soya,LC,,Bonjour Garden,Healtea Bar,Food,,6,76
Healtea Bar,LC,"1,03A",Digital Gallery,Nature's Fusion,Food,,6,77
Nature's Fusion,LC,01-01,Healtea Bar,Jaya Grocer,Food,,6,78
Digital Gallery,LC,26,Healtea Bar,Soya Soya,Technology,,6,79
